wfd:
entry into              进入
implement               实现 /完成 /贯彻 /执行
inadequately implemented没有得到充分实施
consist of              由……组成 /由…组成 /由…构成
processes               过程 /流程 /进程 /操作
steadily                稳步 /稳稳 /稳中有升 /节节 /逐渐地，稳步地；不变地，稳定地；冷静地，镇定地；固定地，牢固地
incorporate             包含 /混合 /合并 /使加入 /结合 /收编
collection of           收藏，一系列
take the first step by  现在就 /迈出第一步
scholarship             奖学金；学问，学术
be concerned with       关心 /从事于 /担心 /挂念 /关注 /担忧 /涉及
be considered by        被考虑为
behavior                反应 /性能 /行为习惯
request for late applications   申请逾期
perception              看法 /认知 /感知 /感觉 /悟性
under any circumstances 在任何情况下 /在无论何种情况下
carry out               完成 /实现 /执行 /实行 /执行，实施
automatically           自动的 /自然而然 /无意识的 /不自觉的
play an important role  起重要作用 /发挥重要作用
there is a widely believed perception that  人们普遍认为
construction            建造 /建筑 /构建 /创立
construction practices  施工做法 /施工实践
could be                可能是 /可能的 /可以是 /有可能
interior                内部的 /内部 /内饰 /室内设计 /室内
staff training          员工培训 /全培训 /职员培训 /人员培训
a variety of            各种各样的 /种种 /一些 /多种多样的 /一种
habitat                 栖息地 /动物栖地 /生境
species                 物种 /种 /种类 /异种 /类
oxygen                  氧 /氧气 /强氧 /纯氧
hydrogen                氢，氢气
atoms                   原子 /元子 /元素 /字符串
be criticized for       因……而受到批评
critical                批判的 /关键的 /严重的 /病重的 /临界的 /危急的
causing                 产生 /导致 /造成 /引起
addiction               成瘾 /上瘾 /成瘾性 /烟瘾
Internet addiction      网瘾
opportunity             机会 /机遇 /机遇号 /时机
great career opportunity良好的职业发展机会
considering a career in 考虑从事某个职业
develop a career        发展职业
be produced from        产生于 
produce                 引起，造成；（自然地）生产，产生；（尤指用机器）生产，制造
extracted from          从……中提取
spread out              分布 /分散开来 /打开、摊开 /分散、分配
academic year           学年 /组成学年的单位 /教学年度
distance learning       远程学习
commitment              忠诚，献身；承诺，保证；奉献，投入；热情，决心; 义务，责任；花费
commissioner            首长/ 长官
adapt                   改编 /适应 /使适应 /修改
charge interest         收取利息
lend to                 借给某人某物，期望在短时间内归还
crops                   农作物 /庄稼 /谷物 /农作物 /作物
large amounts of        大量的
fertilizer              肥料，化肥
acquire                 获得，得到；学到，习得；患上
technology              科技，技术；技术设备，先进机器；技术学，工艺学；术语 
technique               技巧，工艺；（尤指体育或艺术方面的）技巧，技术
design to               为……制定计划或设计 /设计 /用于 
invest in               投资于；买进；寄希望于
in years                近几年 /几年内
a unique approach       独特的方法
pharmacy                药店；（医院的）药房，配药室
the main cause of       ...的主要原因
the studies showed      研究表明
studies show            研究表明
temperature             温度，气温；体温；发烧
the wildlife population 野生动物的数量
took one year off       休了一年假
work on                 从事 /从事于 /继续工作 /忙于
next term               下一个学期
transcend               超出，超越；胜过（某人），超过（某项成就）
boundary                分界线，边界；界限，范围
national boundaries     国界
still have a few places left    还剩下几个地方
massive                 大而重的，结实的；非常严重的；大量的，大规模的
massive accumulation of 大量积累的
converted into          转变成
communicable            可传达的
communicable argument   广为传播的论点
assessment              评估，评价；估价，估计
the kind of assessment  评估的类型
was driven by           被驱动，受驱使
gallery                 美术馆，画廊；（大厅的）楼座
anonymous               匿名的，不知名的；不记名的
donation                捐赠 /捐赠物，捐赠，赠送
proportion              部分，份额；比例；正确的比例，均衡；大小，程度
a higher-than-normal proportion of  高于正常比例的
portion                 某物的一部分；（尤指餐馆中食物的）一份，一客
apportion               分配，分派；分摊
postgraduate students   研究生
cafeteria               自助食堂，自助餐馆
features                n. 产品特点，特征；容貌 v. 是……的特色，使突出
fellow                  n. 小伙子，家伙；同伴，同事，同学；研究员；男朋友 adj.同类的，同伴的
fellow students         各位同学 /同学们
stress                  n. 精神压力，紧张；压力，应力；强调，重要性 v. 强调，着重；重读；焦虑，紧张；使受压力，使受重压
cannot be stressed enough   再怎么强调也不为过
correlation             n. 相互关系，关联；相关量
positive correlation    正相关
variable                adj. 易变的，多变的；时好时坏的；可变的，可调节的; n. 可变性，可变因素；（数学中的）变量，变元
accommodation           n. <美>住宿，膳宿；<英>住处，办公处，停留处
college residence       大学宿舍
be encouraged to        被鼓励去做某事
monitor                 n. 显示器，监控器；监视仪，监护仪；监督员，监察员; v. 监视；监听
attendance              n. 出席人数；出席，出勤；考勤情况；提供帮助
in attendance           在场，出席
strangely               adv. 奇怪地；奇妙地；不可思议地
simultaneously          adv. 同时地
impressed by            对……印象深刻
skeptical               adj. 不相信的，持怀疑态度的；（哲）怀疑论的，不可知论的
regard                  v. 认为，把……看作；<正式>（尤指以某种方式）注视，凝视; n. <正式> 尊重，敬佩；<正式> 关心，关注；注视，凝视
reform                  v. 改革，革新；改邪归正，改造; n. 改革，改良
zeal                    n. 热情，热忱
reforming zeal          改革的热情
Industrial Revolution   工业革命
recklessness            n. 鲁莽；轻率；不顾一切，不顾后果
regard it as            把它看作
candidate               n. 候选人，申请者；有望体验（得到）……的人（物）；投考者，考生；攻读学位者
qualify                 v. （使）有权去做；取得资格，达到标准；获得参赛资格；使合格，胜任；符合，可算作
be qualified as         被认定为，被视为，符合资格
of all time             有史以来的 /一直
prestigious     有威望的/ 有声望的
election        选举/ 当选
elective course 选修课
stewardship     管理工作
strict          严厉的/ 严格的
eligibility criteria 资格标准
Preparation     准备工作
mishap          灾祸/ 不幸事故
conference      大型、正式的会议/ 研讨会
independent     独立的
threatens       恐吓/ 威胁
definitive      最终的/ 确定的
causes          原因
extremely       极度/ 非常
divided into    划分为
generally       笼统地/ 大概/ 通常/ 普遍地
forecast        预测/ 预报
periods         周期
strength        体力/ 力量/ 实力/ 影响力
examined        检查过的/ 检查/ 调查
Collaboration   合作/ 协作
companies       公司/ 企业
principles      道德原则/ 行为准则/ 规范/ 原则/ 原理
verbally        口头上地
deduction       演绎/ 推论
associated      有关联的/ 相关的/ 联合的
durable         持久的/ 耐用的
internship      实习生/ 实习期
mechanics       机械学/ 力学 
due             到期的/ 预期的/ 应有的/ 应得的
materials       材料
carried out     完成或执行某项任务
widely          普遍地/ 广泛地
produced        引起/ 造成/ 生产/ 产生
extracted       萃取的/ 提取
